combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size,threshold,val_acc,val_f1,status,timestamp,error
307979,48,48,7,1.5,0.001,0.02,5,1024,256,0.6300000000000003,0.8520110531163647,0.7184579439252337,success,2025-12-05 12:02:04,
279911,48,32,7,1.5,0.01,0.005,2,256,256,0.6400000000000003,0.8510899600859687,0.7094068304373876,success,2025-12-05 12:05:28,
313386,48,64,3,1.5,0.0005,0.025,1,1024,64,0.7200000000000004,0.8658274485723058,0.7214786488209051,success,2025-12-05 12:05:56,
283822,48,48,3,1.3,0.0001,0.015,1,1024,128,0.7000000000000004,0.8612219834203254,0.7182044887780549,success,2025-12-05 12:06:20,
314810,48,64,3,1.8,0.01,0.005,4,1024,256,0.6600000000000004,0.8474055879643844,0.710204081632653,success,2025-12-05 12:06:43,
288495,48,48,4,1.2,0.0005,0.01,1,256,64,0.6500000000000004,0.8520110531163647,0.7236238532110092,success,2025-12-05 12:08:31,
295555,48,48,5,1.3,0.001,0.015,5,512,128,0.6800000000000004,0.856002456248081,0.722649319929036,success,2025-12-05 12:09:20,
283316,48,48,3,1.2,0.01,0.005,5,512,256,0.6900000000000004,0.854774332207553,0.715915915915916,success,2025-12-05 12:09:45,
282929,48,48,3,1.2,0.0005,0.015,2,512,256,0.6900000000000004,0.8649063555419098,0.7256857855361596,success,2025-12-05 12:10:13,
298374,48,48,6,1.0,0.0001,0.005,3,1024,64,0.6900000000000004,0.8563094872582131,0.7125307125307125,success,2025-12-05 12:11:05,
313684,48,64,3,1.5,0.01,0.005,4,1024,128,0.6700000000000004,0.8467915259441203,0.7176004527447651,success,2025-12-05 12:11:28,
296716,48,48,5,1.5,0.001,0.02,4,512,128,0.6600000000000004,0.855388394227817,0.7171171171171171,success,2025-12-05 12:12:49,
271570,48,32,6,1.2,0.0001,0.025,5,512,128,0.6900000000000004,0.8572305802886091,0.7152480097979179,success,2025-12-05 12:13:56,
310273,48,64,3,1.0,0.001,0.025,5,1024,128,0.7100000000000004,0.856002456248081,0.7206670637284097,success,2025-12-05 12:14:18,
280855,48,32,7,1.8,0.001,0.01,2,256,128,0.6800000000000004,0.8513969910961007,0.716295427901524,success,2025-12-05 12:17:42,
278718,48,32,7,1.3,0.001,0.02,4,1024,64,0.6100000000000003,0.8535462081670249,0.7205623901581723,success,2025-12-05 12:18:51,
291247,48,48,4,1.5,0.01,0.015,1,1024,128,0.6200000000000003,0.8498618360454406,0.7184801381692574,success,2025-12-05 12:19:26,
300423,48,48,6,1.3,0.0,0.01,1,512,64,0.6200000000000003,0.8532391771568928,0.7240184757505773,success,2025-12-05 12:21:15,
289495,48,48,4,1.3,0.0001,0.02,2,256,128,0.6600000000000004,0.8556954252379491,0.7199046483909416,success,2025-12-05 12:22:46,
277615,48,32,7,1.2,0.001,0.025,2,256,128,0.6600000000000004,0.856002456248081,0.7117393976644131,success,2025-12-05 12:25:44,
287515,48,48,4,1.0,0.0005,0.025,2,256,128,0.6900000000000004,0.8606079214000614,0.723170731707317,success,2025-12-05 12:27:17,
300443,48,48,6,1.3,0.0,0.01,3,512,256,0.6500000000000004,0.8612219834203254,0.7253948967193196,success,2025-12-05 12:28:47,
300602,48,48,6,1.3,0.0001,0.005,1,256,256,0.6500000000000004,0.8483266809947805,0.7186788154897494,success,2025-12-05 12:31:07,
271388,48,32,6,1.2,0.0001,0.005,5,256,256,0.6500000000000004,0.8501688670555726,0.7139507620164126,success,2025-12-05 12:33:18,
307633,48,48,7,1.5,0.0005,0.01,2,512,128,0.6200000000000003,0.8452563708934603,0.7045720984759671,success,2025-12-05 12:35:03,
291716,48,48,4,1.8,0.0001,0.015,3,1024,256,0.6900000000000004,0.8501688670555726,0.7109004739336493,success,2025-12-05 12:35:28,
303138,48,48,6,1.8,0.0005,0.01,3,256,64,0.6400000000000003,0.8455634019035922,0.7000596302921884,success,2025-12-05 12:37:01,
280852,48,32,7,1.8,0.001,0.01,1,1024,128,0.5700000000000003,0.8335891925084433,0.6948198198198198,success,2025-12-05 12:37:42,
291964,48,48,4,1.8,0.0005,0.02,1,512,128,0.7500000000000004,0.8655204175621738,0.7206632653061225,success,2025-12-05 12:38:27,
279354,48,32,7,1.5,0.0001,0.015,5,512,64,0.6300000000000003,0.8572305802886091,0.7131400370141888,success,2025-12-05 12:40:32,
295946,48,48,5,1.5,0.0,0.01,3,1024,256,0.6300000000000003,0.8510899600859687,0.7236467236467237,success,2025-12-05 12:41:06,
294780,48,48,5,1.3,0.0,0.005,4,512,64,0.6900000000000004,0.8636782315013817,0.7269372693726938,success,2025-12-05 12:42:31,
