combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size,threshold,val_acc,val_f1,status,timestamp
442979,64,64,6,1.5,0.001,0.02,5,1024,256,0.7200000000000004,0.854467301197421,0.7084870848708487,success,2025-12-05 12:04:45
414911,64,48,6,1.5,0.01,0.005,2,256,256,0.7000000000000004,0.8480196499846484,0.6990881458966566,success,2025-12-05 12:07:20
448386,64,64,7,1.5,0.0005,0.025,1,1024,64,0.6700000000000004,0.855388394227817,0.7087198515769945,success,2025-12-05 12:08:33
418822,64,48,7,1.3,0.0001,0.015,1,1024,128,0.6500000000000004,0.8593797973595333,0.7247596153846154,success,2025-12-05 12:09:26
449810,64,64,7,1.8,0.01,0.005,4,1024,256,0.6800000000000004,0.8563094872582131,0.701530612244898,success,2025-12-05 12:10:18
423495,64,64,3,1.2,0.0005,0.01,1,256,64,0.6800000000000004,0.854467301197421,0.718192627824019,success,2025-12-05 12:11:35
430555,64,64,4,1.3,0.001,0.015,5,512,128,0.6800000000000004,0.854774332207553,0.7192878338278932,success,2025-12-05 12:12:18
418316,64,48,7,1.2,0.01,0.005,5,512,256,0.6900000000000004,0.854774332207553,0.7124620060790273,success,2025-12-05 12:13:27
417929,64,48,7,1.2,0.0005,0.015,2,512,256,0.6900000000000004,0.854774332207553,0.7169359664871334,success,2025-12-05 12:14:24
433374,64,64,5,1.0,0.0001,0.005,3,1024,64,0.7000000000000004,0.8603008903899294,0.7147335423197492,success,2025-12-05 12:15:17
448684,64,64,7,1.5,0.01,0.005,4,1024,128,0.6100000000000003,0.8458704329137243,0.7022538552787663,success,2025-12-05 12:16:13
431716,64,64,4,1.5,0.001,0.02,4,512,128,0.6400000000000003,0.8606079214000614,0.7228327228327228,success,2025-12-05 12:17:00
406570,64,48,5,1.2,0.0001,0.025,5,512,128,0.7400000000000004,0.8584587043291373,0.7187309334960341,success,2025-12-05 12:17:37
445273,64,64,7,1.0,0.001,0.025,5,1024,128,0.7000000000000004,0.8593797973595333,0.7220873786407767,success,2025-12-05 12:18:27
415855,64,48,6,1.8,0.001,0.01,2,256,128,0.7000000000000004,0.8575376112987412,0.7128712871287128,success,2025-12-05 12:21:50
413718,64,48,6,1.3,0.001,0.02,4,1024,64,0.5800000000000003,0.8590727663494013,0.7256425582785415,success,2025-12-05 12:22:38
426247,64,64,3,1.5,0.01,0.015,1,1024,128,0.7100000000000004,0.8513969910961007,0.718931475029036,success,2025-12-05 12:22:59
435423,64,64,5,1.3,0.0,0.01,1,512,64,0.7000000000000004,0.8642922935216457,0.7181122448979592,success,2025-12-05 12:24:25
424495,64,64,3,1.3,0.0001,0.02,2,256,128,0.6800000000000004,0.8636782315013817,0.720754716981132,success,2025-12-05 12:25:40
412615,64,48,6,1.2,0.001,0.025,2,256,128,0.7100000000000004,0.8532391771568928,0.7106537530266344,success,2025-12-05 12:26:55
422515,64,64,3,1.0,0.0005,0.025,2,256,128,0.6400000000000003,0.8596868283696654,0.7228623408126137,success,2025-12-05 12:27:57
435443,64,64,5,1.3,0.0,0.01,3,512,256,0.6700000000000004,0.8578446423088733,0.7222555488902219,success,2025-12-05 12:29:03
435602,64,64,5,1.3,0.0001,0.005,1,256,256,0.6600000000000004,0.8575376112987412,0.7234803337306317,success,2025-12-05 12:30:27
406388,64,48,5,1.2,0.0001,0.005,5,256,256,0.6400000000000003,0.842493091802272,0.7046632124352331,success,2025-12-05 12:31:57
442633,64,64,6,1.5,0.0005,0.01,2,512,128,0.6000000000000003,0.8458704329137243,0.7163841807909604,success,2025-12-05 12:33:18
426716,64,64,3,1.8,0.0001,0.015,3,1024,256,0.7100000000000004,0.8532391771568928,0.7085365853658536,success,2025-12-05 12:33:37
438138,64,64,5,1.8,0.0005,0.01,3,256,64,0.5600000000000003,0.8498618360454406,0.7232597623089984,success,2025-12-05 12:36:42
415852,64,48,6,1.8,0.001,0.01,1,1024,128,0.6200000000000003,0.8495548050353086,0.7183908045977011,success,2025-12-05 12:37:38
426964,64,64,3,1.8,0.0005,0.02,1,512,128,0.7100000000000004,0.867055572612834,0.725428027901078,success,2025-12-05 12:38:19
414354,64,48,6,1.5,0.0001,0.015,5,512,64,0.6400000000000003,0.8563094872582131,0.7128834355828221,success,2025-12-05 12:40:20
430946,64,64,4,1.5,0.0,0.01,3,1024,256,0.6400000000000003,0.8590727663494013,0.7178856791641057,success,2025-12-05 12:40:51
429780,64,64,4,1.3,0.0,0.005,4,512,64,0.6900000000000004,0.8575376112987412,0.7139334155363748,success,2025-12-05 12:41:40
446447,64,64,7,1.2,0.01,0.01,1,256,256,0.5500000000000003,0.8464844949339884,0.7212931995540691,success,2025-12-05 12:43:30
432245,64,64,4,1.8,0.0001,0.005,3,256,256,0.6700000000000004,0.855388394227817,0.7065420560747664,success,2025-12-05 12:44:46
448592,64,64,7,1.5,0.001,0.02,4,512,256,0.5700000000000003,0.8464844949339884,0.7109826589595376,success,2025-12-05 12:46:49
434814,64,64,5,1.2,0.0005,0.015,3,1024,64,0.6500000000000004,0.8535462081670249,0.7189157336476134,success,2025-12-05 12:47:33
434041,64,64,5,1.0,0.01,0.005,2,1024,128,0.6100000000000003,0.8480196499846484,0.7156806433084434,success,2025-12-05 12:48:16
416275,64,48,7,1.0,0.0,0.005,3,1024,128,0.6500000000000004,0.8529321461467608,0.714370900417412,success,2025-12-05 12:49:07
419006,64,48,7,1.3,0.0005,0.01,2,256,256,0.5300000000000002,0.8391157506908198,0.7133479212253829,success,2025-12-05 12:52:25
416899,64,48,7,1.0,0.0005,0.025,3,256,128,0.7000000000000004,0.8627571384709856,0.7169094363521216,success,2025-12-05 12:53:58
411807,64,48,6,1.2,0.0,0.01,2,512,64,0.6400000000000003,0.8504758980657047,0.7225071225071225,success,2025-12-05 12:55:31
445409,64,64,7,1.0,0.01,0.015,5,1024,256,0.6800000000000004,0.8538532391771569,0.7193396226415094,success,2025-12-05 12:56:16
424536,64,64,3,1.3,0.0001,0.025,1,1024,64,0.6900000000000004,0.8667485416027019,0.7217948717948718,success,2025-12-05 12:56:46
420837,64,48,7,1.8,0.0,0.01,5,1024,64,0.6200000000000003,0.8391157506908198,0.7009132420091324,success,2025-12-05 12:57:46
432159,64,64,4,1.8,0.0,0.02,3,1024,64,0.6800000000000004,0.8621430764507215,0.7188478396994364,success,2025-12-05 12:58:22
408016,64,48,5,1.3,0.001,0.015,1,256,128,0.6300000000000003,0.8615290144304575,0.7200496585971446,success,2025-12-05 12:59:53
448195,64,64,7,1.5,0.0001,0.025,5,512,128,0.6600000000000004,0.854467301197421,0.7175208581644815,success,2025-12-05 13:01:42
409729,64,48,5,1.8,0.0001,0.005,1,512,128,0.6500000000000004,0.8520110531163647,0.7068126520681265,success,2025-12-05 13:02:51
423754,64,64,3,1.2,0.001,0.01,4,1024,128,0.6700000000000004,0.8501688670555726,0.7142857142857143,success,2025-12-05 13:03:11
433326,64,64,5,1.0,0.0,0.025,3,512,64,0.7100000000000004,0.8572305802886091,0.7148988350705089,success,2025-12-05 13:03:49
414661,64,48,6,1.5,0.0005,0.025,4,512,128,0.5900000000000003,0.8606079214000614,0.7258454106280193,success,2025-12-05 13:05:24
415229,64,48,6,1.8,0.0,0.015,2,512,256,0.7000000000000004,0.8538532391771569,0.7017543859649122,success,2025-12-05 13:06:16
448562,64,64,7,1.5,0.001,0.02,1,256,256,0.6100000000000003,0.8593797973595333,0.7207317073170731,success,2025-12-05 13:09:08
