combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
270000,48,32,6,1.0,0.0,0.005,1,256,64
270001,48,32,6,1.0,0.0,0.005,1,256,128
270002,48,32,6,1.0,0.0,0.005,1,256,256
270003,48,32,6,1.0,0.0,0.005,1,512,64
270004,48,32,6,1.0,0.0,0.005,1,512,128
270005,48,32,6,1.0,0.0,0.005,1,512,256
270006,48,32,6,1.0,0.0,0.005,1,1024,64
270007,48,32,6,1.0,0.0,0.005,1,1024,128
270008,48,32,6,1.0,0.0,0.005,1,1024,256
270009,48,32,6,1.0,0.0,0.005,2,256,64
270010,48,32,6,1.0,0.0,0.005,2,256,128
270011,48,32,6,1.0,0.0,0.005,2,256,256
270012,48,32,6,1.0,0.0,0.005,2,512,64
270013,48,32,6,1.0,0.0,0.005,2,512,128
270014,48,32,6,1.0,0.0,0.005,2,512,256
270015,48,32,6,1.0,0.0,0.005,2,1024,64
270016,48,32,6,1.0,0.0,0.005,2,1024,128
270017,48,32,6,1.0,0.0,0.005,2,1024,256
270018,48,32,6,1.0,0.0,0.005,3,256,64
270019,48,32,6,1.0,0.0,0.005,3,256,128
270020,48,32,6,1.0,0.0,0.005,3,256,256
270021,48,32,6,1.0,0.0,0.005,3,512,64
270022,48,32,6,1.0,0.0,0.005,3,512,128
270023,48,32,6,1.0,0.0,0.005,3,512,256
270024,48,32,6,1.0,0.0,0.005,3,1024,64
270025,48,32,6,1.0,0.0,0.005,3,1024,128
270026,48,32,6,1.0,0.0,0.005,3,1024,256
270027,48,32,6,1.0,0.0,0.005,4,256,64
270028,48,32,6,1.0,0.0,0.005,4,256,128
270029,48,32,6,1.0,0.0,0.005,4,256,256
270030,48,32,6,1.0,0.0,0.005,4,512,64
270031,48,32,6,1.0,0.0,0.005,4,512,128
270032,48,32,6,1.0,0.0,0.005,4,512,256
270033,48,32,6,1.0,0.0,0.005,4,1024,64
270034,48,32,6,1.0,0.0,0.005,4,1024,128
270035,48,32,6,1.0,0.0,0.005,4,1024,256
270036,48,32,6,1.0,0.0,0.005,5,256,64
270037,48,32,6,1.0,0.0,0.005,5,256,128
270038,48,32,6,1.0,0.0,0.005,5,256,256
270039,48,32,6,1.0,0.0,0.005,5,512,64
270040,48,32,6,1.0,0.0,0.005,5,512,128
270041,48,32,6,1.0,0.0,0.005,5,512,256
270042,48,32,6,1.0,0.0,0.005,5,1024,64
270043,48,32,6,1.0,0.0,0.005,5,1024,128
270044,48,32,6,1.0,0.0,0.005,5,1024,256
270045,48,32,6,1.0,0.0,0.01,1,256,64
270046,48,32,6,1.0,0.0,0.01,1,256,128
270047,48,32,6,1.0,0.0,0.01,1,256,256
270048,48,32,6,1.0,0.0,0.01,1,512,64
270049,48,32,6,1.0,0.0,0.01,1,512,128
270050,48,32,6,1.0,0.0,0.01,1,512,256
270051,48,32,6,1.0,0.0,0.01,1,1024,64
270052,48,32,6,1.0,0.0,0.01,1,1024,128
270053,48,32,6,1.0,0.0,0.01,1,1024,256
270054,48,32,6,1.0,0.0,0.01,2,256,64
270055,48,32,6,1.0,0.0,0.01,2,256,128
270056,48,32,6,1.0,0.0,0.01,2,256,256
270057,48,32,6,1.0,0.0,0.01,2,512,64
270058,48,32,6,1.0,0.0,0.01,2,512,128
270059,48,32,6,1.0,0.0,0.01,2,512,256
270060,48,32,6,1.0,0.0,0.01,2,1024,64
270061,48,32,6,1.0,0.0,0.01,2,1024,128
270062,48,32,6,1.0,0.0,0.01,2,1024,256
270063,48,32,6,1.0,0.0,0.01,3,256,64
270064,48,32,6,1.0,0.0,0.01,3,256,128
270065,48,32,6,1.0,0.0,0.01,3,256,256
270066,48,32,6,1.0,0.0,0.01,3,512,64
270067,48,32,6,1.0,0.0,0.01,3,512,128
270068,48,32,6,1.0,0.0,0.01,3,512,256
270069,48,32,6,1.0,0.0,0.01,3,1024,64
270070,48,32,6,1.0,0.0,0.01,3,1024,128
270071,48,32,6,1.0,0.0,0.01,3,1024,256
270072,48,32,6,1.0,0.0,0.01,4,256,64
270073,48,32,6,1.0,0.0,0.01,4,256,128
270074,48,32,6,1.0,0.0,0.01,4,256,256
270075,48,32,6,1.0,0.0,0.01,4,512,64
270076,48,32,6,1.0,0.0,0.01,4,512,128
270077,48,32,6,1.0,0.0,0.01,4,512,256
270078,48,32,6,1.0,0.0,0.01,4,1024,64
270079,48,32,6,1.0,0.0,0.01,4,1024,128
270080,48,32,6,1.0,0.0,0.01,4,1024,256
270081,48,32,6,1.0,0.0,0.01,5,256,64
270082,48,32,6,1.0,0.0,0.01,5,256,128
270083,48,32,6,1.0,0.0,0.01,5,256,256
270084,48,32,6,1.0,0.0,0.01,5,512,64
270085,48,32,6,1.0,0.0,0.01,5,512,128
270086,48,32,6,1.0,0.0,0.01,5,512,256
270087,48,32,6,1.0,0.0,0.01,5,1024,64
270088,48,32,6,1.0,0.0,0.01,5,1024,128
270089,48,32,6,1.0,0.0,0.01,5,1024,256
270090,48,32,6,1.0,0.0,0.015,1,256,64
270091,48,32,6,1.0,0.0,0.015,1,256,128
270092,48,32,6,1.0,0.0,0.015,1,256,256
270093,48,32,6,1.0,0.0,0.015,1,512,64
270094,48,32,6,1.0,0.0,0.015,1,512,128
270095,48,32,6,1.0,0.0,0.015,1,512,256
270096,48,32,6,1.0,0.0,0.015,1,1024,64
270097,48,32,6,1.0,0.0,0.015,1,1024,128
270098,48,32,6,1.0,0.0,0.015,1,1024,256
270099,48,32,6,1.0,0.0,0.015,2,256,64
270100,48,32,6,1.0,0.0,0.015,2,256,128
270101,48,32,6,1.0,0.0,0.015,2,256,256
270102,48,32,6,1.0,0.0,0.015,2,512,64
270103,48,32,6,1.0,0.0,0.015,2,512,128
270104,48,32,6,1.0,0.0,0.015,2,512,256
270105,48,32,6,1.0,0.0,0.015,2,1024,64
270106,48,32,6,1.0,0.0,0.015,2,1024,128
270107,48,32,6,1.0,0.0,0.015,2,1024,256
270108,48,32,6,1.0,0.0,0.015,3,256,64
270109,48,32,6,1.0,0.0,0.015,3,256,128
270110,48,32,6,1.0,0.0,0.015,3,256,256
270111,48,32,6,1.0,0.0,0.015,3,512,64
270112,48,32,6,1.0,0.0,0.015,3,512,128
270113,48,32,6,1.0,0.0,0.015,3,512,256
270114,48,32,6,1.0,0.0,0.015,3,1024,64
270115,48,32,6,1.0,0.0,0.015,3,1024,128
270116,48,32,6,1.0,0.0,0.015,3,1024,256
270117,48,32,6,1.0,0.0,0.015,4,256,64
270118,48,32,6,1.0,0.0,0.015,4,256,128
270119,48,32,6,1.0,0.0,0.015,4,256,256
270120,48,32,6,1.0,0.0,0.015,4,512,64
270121,48,32,6,1.0,0.0,0.015,4,512,128
270122,48,32,6,1.0,0.0,0.015,4,512,256
270123,48,32,6,1.0,0.0,0.015,4,1024,64
270124,48,32,6,1.0,0.0,0.015,4,1024,128
270125,48,32,6,1.0,0.0,0.015,4,1024,256
270126,48,32,6,1.0,0.0,0.015,5,256,64
270127,48,32,6,1.0,0.0,0.015,5,256,128
270128,48,32,6,1.0,0.0,0.015,5,256,256
270129,48,32,6,1.0,0.0,0.015,5,512,64
270130,48,32,6,1.0,0.0,0.015,5,512,128
270131,48,32,6,1.0,0.0,0.015,5,512,256
270132,48,32,6,1.0,0.0,0.015,5,1024,64
270133,48,32,6,1.0,0.0,0.015,5,1024,128
270134,48,32,6,1.0,0.0,0.015,5,1024,256
270135,48,32,6,1.0,0.0,0.02,1,256,64
270136,48,32,6,1.0,0.0,0.02,1,256,128
270137,48,32,6,1.0,0.0,0.02,1,256,256
270138,48,32,6,1.0,0.0,0.02,1,512,64
270139,48,32,6,1.0,0.0,0.02,1,512,128
270140,48,32,6,1.0,0.0,0.02,1,512,256
270141,48,32,6,1.0,0.0,0.02,1,1024,64
270142,48,32,6,1.0,0.0,0.02,1,1024,128
270143,48,32,6,1.0,0.0,0.02,1,1024,256
270144,48,32,6,1.0,0.0,0.02,2,256,64
270145,48,32,6,1.0,0.0,0.02,2,256,128
270146,48,32,6,1.0,0.0,0.02,2,256,256
270147,48,32,6,1.0,0.0,0.02,2,512,64
270148,48,32,6,1.0,0.0,0.02,2,512,128
270149,48,32,6,1.0,0.0,0.02,2,512,256
270150,48,32,6,1.0,0.0,0.02,2,1024,64
270151,48,32,6,1.0,0.0,0.02,2,1024,128
270152,48,32,6,1.0,0.0,0.02,2,1024,256
270153,48,32,6,1.0,0.0,0.02,3,256,64
270154,48,32,6,1.0,0.0,0.02,3,256,128
270155,48,32,6,1.0,0.0,0.02,3,256,256
